Wines,Price,Category,Grapes 1,Grapes 2,Grapes 3,Grapes 4,Region 1,Region 2,Region 3,Region 4,Alcohol,Food Pairing,Notes,Link
"Cantele - Chardonnay VT ""Teresa Manara"" IGP 2021",92,"White, Dry, Still",100% Chardonnay (late Harvest),,,,"Burgundy, France",,,,14.50%,"Versatile wine, it matches with fish dishes, vegetables, white meat and cheese. Try it with lightly fried food and particularly mushrooms","Category: White, Dry, StillGrapes: 100% Chardonnay (Late Harvest)Alcohol: 14.5%Translucent golden yellowRobust, fresh notes of lime, grapefruit, yellow orange, and lime treeA soft white that rides on refreshing acidity. Thirst-quenching but full-bodied and confident with notes of yellow peach, acacia honey, raw almonds, and hazelnut. The finish delivers an intensely salty, passionate Mediterranean flourishFood pairing: Versatile wine, it matches with fish dishes, vegetables, white meat and cheese. Try it with lightly fried food and particularly mushrooms",https://www.winelistasia.com/store/p486/Cantele_-_Chardonnay_VT_%22Teresa_Manara%22_IGP_2021.html
"Cantele - Verdeca Puglia ""Cantele"" IGP 2021",55,"White, Dry, Still",100% Verdeca,,,,Puglia (Salento),,,,13.00%,"Light fish, vegetables and light cheeses","Category: White, Dry, StillGrapes: 100% VerdecaAlcohol: 13%Intense straw yellow with hints of greenIntense and persistent. Fruity with clean notes of quince, elderberry, and pear tree aromas. Classic balsamic finish with notes of rosemary and sageIntense, clean, and fresh with a light aromatic note. Seductive, persistent finish with aromatic complexityFood pairing: Light fish, vegetables and light cheeses",https://www.winelistasia.com/store/p491/Cantele_-_Verdeca_Puglia_%22Cantele%22_IGP_2021.html
"Baglio di Pianetto - Etna Bianco ""Fermata 125"" DOC 2020",80,"White, Dry, Still",100% Carricante,,,,"Sicilly, Italy",,,,12.50%,This is the perfect wine to accompany traditional Mediterranean first courses as well as those of Asian cuisine,"Category: White, Dry, StillGrapes: 100% CarricanteAlcohol: 12.5%Appealing shimmering straw-yellow colourIncisive, citrus-edged scents of orange and acacia blossomBeautifully-balanced in the mouth, its multi-layered fruit progresses to a long-lingering finish with a pungent note of balsamicFood Pairing:This is the perfect wine to accompany traditional Mediterranean first courses as well as those of Asian cuisine",https://www.winelistasia.com/store/p494/Baglio_di_Pianetto_-_Etna_Bianco_%22Fermata_125%22_DOC_2020.html
"CiÃ¹ CiÃ¹ - Spumante Brut ""Merlettaie"" DOP NV",54,"White, Dry, Sparkling",100% Pecorino,,,,"Marche/Abruzzo, Italy",,,,12.50%,Ideal for aperitif and fish plates,"Category: White, Dry, SparklingGrapes: 100% PecorinoAlcohol: 12.5%Deep straw-yellow with green shadesScent very intense and persistent, grassy and hawthorn blossoms aromaFlavour fresh and sapid, it happens to be agreeable and soft to the palateFood Pairing:Ideal for aperitif and fish plates",https://www.winelistasia.com/store/p496/Ci%C3%B9_Ci%C3%B9_-_Spumante_Brut_%22Merlettaie%22_DOP_NV.html
"Lvnae Bosoni - Diego Bosoni ""Padre Figlio"" IGT NV",92,"White, Dry, Still",100% Vermentino (orange Wine),,,,"Sardinia/Liguria/Tuscany, Italy",,,,13.00%,"Particularly suitable for the most substantial dishes of Ligurian cuisine such as stockfish, stewed tripe, poultry, soups and fish","Category: White, Dry, StillGrapes: 100% Vermentino (Orange Wine)Alcohol: 13%Golden yellow colourIntense, complex with hints of flowers, ripe fruits and Mediterranean scrubSame sensations of the nose enriched by a subtle hint of almond. Ample, enveloping body supported by a good freshnessFood Pairing:Particularly suitable for the most substantial dishes of Ligurian cuisine such as stockfish, stewed tripe, poultry, soups and fish",https://www.winelistasia.com/store/p499/Lvnae_Bosoni_-_Diego_Bosoni_%22Padre_Figlio%22_IGT_NV.html
Omina Romana - Bianco Hermes Diactors II IGT 2021,52,"White, Dry, Still",62% Viognier,13% Petit Manseng,12% Chardonnay,,"Northern Rhone, France",,"Burgundy, France",,13.50%,Whipped salt cod (baccalÃ ) or a mild white fish such as baked sea bass poached in rice wine and miso,"Category: White, Dry, StillGrapes:62% Viognier, 13% Incrocio Manzoni, 13% Petit Manseng, 12% ChardonnayAlcohol: 13.5%Medium straw, legs and tearsFruit forward, warm apricots, tropical fruits like guava and papaya, citrus, intense jasmine scent, calendula and white nougatCreamy texture, dense structure, fresh fruit and acidity, medium-bodied, dry and fruit driven finishFood Pairing:Whipped salt cod (baccalÃ ) or a mild white fish such as baked sea bass poached in rice wine and miso",https://www.winelistasia.com/store/p500/Omina_Romana_-_Bianco_Hermes_Diactors_II_IGT_2021.html
"Villa Franciacorta - Extra Brut ""Blu"" DOCG 2018",110,"White, Dry, Sparkling",Chardonnay Grapes,10% Pinot,,,"Burgundy, France",,,,12.50%,"Steamed fish, or delicate fish or vegetable based first course dishes. Also excellent as an aperitif","Category: White, Dry, SparklingGrapes: Chardonnay Grapes: 85%, Pinot Nero 10%, Pinot BiancoAlcohol: 12.5%Straw yellow, fine persistent bubblesThe nose displays elegant fl oral accents, fresh fruits, and yeastsFine persistent bubbles caress the palate, exalting the wineâs alluring softness and elegant structureFood Pairing:Steamed fish, or delicate fish or vegetable based first course dishes. Also excellent as an aperitif",https://www.winelistasia.com/store/p571/Villa_Franciacorta_-_Extra_Brut_%22Blu%22_DOCG_2018.html
"Bindi Sergardi - Bianco Toscana ""Bindo'"" IGT 2022",52,"White, Dry, Still",50% Malvasia,20% Chardonnay,,,Italy,"Burgundy, France",,,12.00%,"Suitable as an aperitif, excellent accompanied with fish as a tradition","Category: White, Dry, StillGrapes: 50% Malvasia, 30% Trebbiano, 20% ChardonnayAlcohol: 12%Light in color with golden highlightsAn intense bouquet, with hints of peach and pearFresh and tasty, mineral with good acidityFood Pairing:Suitable as an aperitif, excellent accompanied with fish as a tradition",https://www.winelistasia.com/store/p574/Bindi_Sergardi_-_Bianco_Toscana_%22Bindo%27%22_IGT_2022.html
"Sartori - Rosso delle Venezie ""L'Appassione"" IGT 2021",49,"Red, Dry, Still",60% Corvina,10% Rondinella,,,"Veneto, Italy","Veneto, Italy",,,13.00%,"Ideal match for main courses, grilled meats, roasts, savory cheese and smoked ham","Category: Red, Dry, StillGrapes: 60% Corvina, 30% Merlot, 10% RondinellaAlcohol: 13%Vivid garnet redIntense and persistent bouquet of red fruits and spices, tobacco and leatherFull bodied, round, pleasing, slightly dry and velvety, with a harmonious soft-textured bodyFood Pairing:Ideal match for main courses, grilled meats, roasts, savory cheese and smoked ham",https://www.winelistasia.com/store/p9/Sartori_-_Rosso_delle_Venezie_%22L%27Appassione%22_IGT_2021.html
Sartori - Valpolicella Classico DOC 2021,52,"Red, Dry, Still",70% Corvina,10% Molinara,,,"Veneto, Italy","Veneto, Italy",,,12.50%,"Perfect with pastas, grilled chicken and mild cheeses","Category: Red, Dry, StillGrapes: 70% Corvina, 20% Rondinella, 10% MolinaraAlcohol: 12.5%Deep ruby with violet flashesBlack fruit, spices, ripe cherry, balsamic notesCherries are the dominant flavour, with hints of vanillaFood pairing:Perfect with pastas, grilled chicken and mild cheeses",https://www.winelistasia.com/store/p11/Sartori_-_Valpolicella_Classico_DOC_2021.html
"Sartori - Valpolicella Classico Superiore ""Montegradella"" DOC 2020",58,"Red, Dry, Still",45% Corvina,20% Rondinella,5% Croatina,,"Veneto, Italy","Veneto, Italy",,,13.00%,"Montegradella makes an ideal accompaniment to roasted red meats and game. It is excellent with aged cheeses, and a perfect match with white or black truffles","Category: Red, Dry, StillGrapes: 45% Corvina, 30% Corvinone, 20% Rondinella, 5% CroatinaAlcohol: 13%Intense ruby redRipe fruit with notes of cassis, plum and herbsMedium to full body with juicy fruit flavours, suppletannins, and a lingering finishFood pairing:Montegradella makes an ideal accompaniment to roasted red meats and game. It is excellent with aged cheeses, and a perfect match with white or black trufflesAwards: 2011 - Wine Spectator: 87 points2006 - Vinous: 89 points2006 - Vinous: 88 points",https://www.winelistasia.com/store/p12/Sartori_-_Valpolicella_Classico_Superiore_%22Montegradella%22_DOC_2020.html
"Sartori - Valpolicella Classico Superiore Ripasso ""Regolo"" DOC 2021",61,"Red, Dry, Still",55% Corvina,15% Rondinella,5% Croatina,,"Veneto, Italy","Veneto, Italy",,,13.50%,"Good with pasta dressed with rich sauces (based on meat or mushrooms), good with risotto, grilled red meat, roasts and well-aged cheeses","Category: Red, Dry, StillGrapes: 55% Corvina, 25% Corvinone, 15% Rondinella, 5% CroatinaAlcohol: 13.5%Ruby red with garnet huesBerries, black currants, black cherries, and spices and with hints of chocolateRich, full-bodied, dry and velvety, packed with bakedfruit, dried fruit, and hints of cocoa and vanilla on the lingering finishFood Pairing:Good with pasta dressed with rich sauces (based on meat or mushrooms), good with risotto, grilled red meat, roasts and well-aged cheesesAwards:2012 - International Wine Challenge: Silver2012 - Wine Enthusiast Magazine: 89 points",https://www.winelistasia.com/store/p13/Sartori_-_Valpolicella_Classico_Superiore_Ripasso_%22Regolo%22_DOC_2021.html
"Sartori - Recioto della Valpolicella ""Rerum"" DOC 2021 (500ml)",90,"Red, Sweet, Still",50% Corvina,15% Rondinella,5% Cabernet Sauvignon,,"Veneto, Italy","Veneto, Italy","Bordeaux, France",,13.00%,"Dark chocolate desserts, almond cakes, pastafrolla and biscotti.","Category: Red, Sweet, StillGrapes: 50% Corvina, 30% Corvinone, 15% Rondinella, 5% Cabernet SauvignonAlcohol: 13%Lush, dark ruby redIts bouquet shows fine cherry and blackberry jam aromas against a subtle vanilla backgroundOn the palate it offers ample black cherry flavours supported by sweet tanninsFood Pairing:Dark chocolate desserts, almond cakes, pastafrolla and biscotti.",https://www.winelistasia.com/store/p14/Sartori_-_Recioto_della_Valpolicella_%22Rerum%22_DOC_2021_%28500ml%29.html
"Sartori - Amarone della Valpolicella Classico ""Reius"" DOCG 2019",106,"Red, Dry, Still",50% Corvina,15% Rondinella,5% Cabernet Sauvignon,,"Veneto, Italy","Veneto, Italy","Bordeaux, France",,15.00%,"Ideal with red meat, game and mature cheeses. Fine after-dinner drink","Category: Red, Dry, StillGrapes: 50% Corvina, 30% Corvinone, 15% Rondinella, 5% Cabernet SauvignonAlcohol: 15%Intense red in colour with shades of garnetRed fruit jam, plums and baked cherries and hints of toasted coffeeFull and velvety body, cherries preserved in spirit, bitter cocoa and hints of spice on the finishFood Pairing:Ideal with red meat, game and mature cheeses. Fine after-dinner drink",https://www.winelistasia.com/store/p17/Sartori_-_Amarone_della_Valpolicella_Classico_%22Reius%22_DOCG_2019.html
ZAO - Amarone della Valpolicella Classico DOC 2008,358,"Red, Dry, Still",30% Corvina,30% Rondinella,10% Oseleta,,"Veneto, Italy","Veneto, Italy",,,15.50%,"Ideal matching with aged cheese, courtyard meet and game, proportionally dosed jams","Category: Red, Dry, StillGrapes: 30% Corvina, 30% Corvinone, 30% Rondinella, 10% OseletaAlcohol: 15.5%Intense deep ruby colourThe alcohol is well sustained by the fruit entirety as cherry, prune, black currant, mulberry, lightly spicy towards nutmegCompact, wide and persistent with in addiction balsamic notes sustained by good acidity and tanninFood Pairing:Ideal matching with aged cheese, courtyard meet and game, proportionally dosed jams",https://www.winelistasia.com/store/p37/ZAO_-_Amarone_della_Valpolicella_Classico_DOC_2008.html
"ColleMassari - Montecucco Rosso ""Rigoleto"" DOC 2020",60,"Red, Dry, Still",70% Sangiovese,15% Montepulciano,,,"Tuscany, Italy","Abruzzo, Italy",,,13.00%,"Go well with tomato pasta with Mediterranean herbs, chickenbreast salad and with seafood soups","Category: Red, Dry, StillGrapes: 70% Sangiovese, 15% Ciliegiolo, 15% MontepulcianoAlcohol: 13%Intense ruby redLarge and fresh, vinous and vibrant notes, of red and ripe fruitSoft and tasty, with sweet tannins and a jaunty acidity with fruity notes on the finalFood Pairing:Go well with tomato pasta with Mediterranean herbs, chickenbreast salad and with seafood soups",https://www.winelistasia.com/store/p40/ColleMassari_-_Montecucco_Rosso_%22Rigoleto%22_DOC_2020.html
"ColleMassari - Montecucco Rosso Riserva ""ColleMassari"" DOC 2020",71,"Red, Dry, Still",80% Sangiovese,10% Cabernet Sauvignon,,,"Tuscany, Italy","Bordeaux, France",,,14.50%,"Goes well with roast and braised red meats, game and aged cheese","Category: Red, Dry, StillGrapes: 80% Sangiovese, 10% Ciliegiolo, 10% Cabernet SauvignonAlcohol: 14.5%Deep ruby red colourClear notes of small black fruit, then emerge progressively aromas of sweet and balsamic spicesSoft and harmonious, with a full and structured tannin. The final is broad and enveloping, of great lengthFood Pairing:Goes well with roast and braised red meats, game and aged cheeseAwards:2011 - Vinum: 90 points2012 - James Suckling: 91 points2012 - Wine Spectator: 89 points2012 - Wine Advocate: 90 points",https://www.winelistasia.com/store/p41/ColleMassari_-_Montecucco_Rosso_Riserva_%22ColleMassari%22_DOC_2020.html
"ColleMassari - Montecucco Sangiovese Riserva ""Poggio Lombrone"" DOCG 2015",138,"Red, Dry, Still",100% Sangiovese,,,,"Tuscany, Italy",,,,15.50%,"Goes well with game, as e.g. local preparations of wild boar, roast, braised and stewed red meats, medium aged cheese","Category: Red, Dry, StillGrapes: 100% SangioveseAlcohol: 15.5%Intense ruby redIntense aromatic persistence and depth, aromas of cherries and red berries with a sweet spice and mineral sensationsFirm and fragrant, remarkable freshness and varietal tannins, finish is persistent and tasty. Very long ageing capacityFood Pairing:Goes well with game, as e.g. local preparations of wild boar, roast, braised and stewed red meats, medium aged cheeseAwards:2010 - Vinum: 93 points2011 - Vinum: 92 points2011 - Wine Spectator: 92 points2011 - Gambero Rosso: 3 Glasses",https://www.winelistasia.com/store/p42/ColleMassari_-_Montecucco_Sangiovese_Riserva_%22Poggio_Lombrone%22_DOCG_2015.html
Grattamacco - Rosso Bolgheri DOC 2023,91,"Red, Dry, Still",60% Cabernet Sauvignon,10% Merlot,10% Sangiovese,,"Bordeaux, France","Bordeaux, France","Tuscany, Italy",,13.50%,"Suitable for all meals, but best with typical Tuscan cuisine","Category: Red, Dry, StillGrapes: 60% Cabernet Sauvignon, 20% Cabernet Franc, 10% Merlot, 10% SangioveseAlcohol: 13.5%Ruby redFresh and intense with fruity and balsamic predominantly. Completing the bouquet pepper and mineral aromasPlump cherry is the protagonist but the wine also offers integrated tones of spice, leather and tobaccoFood Pairing:Suitable for all meals, but best with typical Tuscan cuisineAwards:2011 - Vinum: 90 points2012 - James Suckling: 91 points2013 - Wine Spectator: 92 points2013 - James Suckling: 92 points",https://www.winelistasia.com/store/p44/Grattamacco_-_Rosso_Bolgheri_DOC_2023.html
"Grattamacco - Rosso Bolgheri Superiore ""L'Alberello"" DOC 2021",160,"Red, Dry, Still",70% Cabernet Sauvignon,5% Petit Verdot,,,"Bordeaux, France",,,,14.00%,"Aged cheeses, lamb chops","Category: Red, Dry, StillGrapes: 70% Cabernet Sauvignon, 25% Cabernet Franc, 5% Petit VerdotAlcohol: 14%Intense ruby redCassis, roasted and toasted dark fruit, char, very much a Cabernet noseComplex dark fruit, licorice, strong and long on the finishFood Pairing:Aged cheeses, lamb chopsAwards:2014 - James Suckling: 94 points2014 - Wine Advocate: 94+ points",https://www.winelistasia.com/store/p45/Grattamacco_-_Rosso_Bolgheri_Superiore_%22L%27Alberello%22_DOC_2021.html
"Podere Fortuna - Pinot Nero Toscana ""Fortuni"" IGT 2011",148,"Red, Dry, Still",100% Pinot Nero,,,,"Tuscany, Italy",,,,14.00%,"Duck and other game birds, casseroles or, of course, stews like beef","Category: Red, Dry, StillGrapes: 100% Pinot NeroAlcohol: 14%Ruby red of medium intensity with light purpleIntense fruity bouquet with a concentrated morello cherry and raspberryElegant and balanced with silky tannins. The final taste is long with fruity aromas of blackcurrant and raspberryFood Pairing:Duck and other game birds, casseroles or, of course, stews like beefAwards:2009 - Vini Veronelli: 88 points2010 - Vini Veronelli: 89 points",https://www.winelistasia.com/store/p71/Podere_Fortuna_-_Pinot_Nero_Toscana_%22Fortuni%22_IGT_2011.html
"Podere Fortuna - Pinot Nero Toscana ""Selezione 1465 - MCDLXV"" IGT 2010",237,"Red, Dry, Still",100% Pinot Nero,,,,"Tuscany, Italy",,,,13.50%,"Duck and other game birds, casseroles or, of course, stews like beef","Category: Red, Dry, StillGrapes: 100% Pinot NeroAlcohol: 13.5%Ruby red of medium intensity with light purpleIntense fruity bouquet with a concentrated morello cherry and raspberryElegant and balanced with silky tannins. The final taste is long with fruity aromas of blackcurrant and raspberryFood Pairing:Duck and other game birds, casseroles or, of course, stews like beefAwards:2010 - Gambero Rosso: 3 Glasses2010 - Vini Veronelli: 92 points",https://www.winelistasia.com/store/p72/Podere_Fortuna_-_Pinot_Nero_Toscana_%22Selezione_1465_-_MCDLXV%22_IGT_2010.html
Terenzi - Morellino di Scansano DOCG 2020,60,"Red, Dry, Still",100% Sangiovese,,,,"Tuscany, Italy",,,,14.00%,"Particularly suitable for accompanying cold cuts, cheese or meat dishes","Category: Red, Dry, StillGrapes: 100% SangioveseAlcohol: 14%Deep ruby redScents of red fruits and violets, with spicy hints on the finishA wine with well-balanced, soft and persistent tannins. Its freshness makes it very easy to drinkFood Pairing:Particularly suitable for accompanying cold cuts, cheese or meat dishesAwards:2013 - Wine Enthusiast Magazine: 89 points2014 - Wine & Spirit Magazine: 86 points2015 - Wine Spectator: 90 points2015 - Wine & Spirit Magazine: 87 points",https://www.winelistasia.com/store/p73/Terenzi_-_Morellino_di_Scansano_DOCG_2020.html
"Terenzi - Rosso Toscano ""Bramaluce"" DOC 2016",74,"Red, Dry, Still",50% Sangiovese,,,,"Tuscany, Italy",,,,14.50%,"Ideal with meat dishes, particularly roasts and game","Category: Red, Dry, StillGrapes: 50% Sangiovese, 50% SyrahAlcohol: 14.5%Ruby red with purple highlightsIntense scents of red fruits and black cherriesFull-flavoured and elegant, with persistent ripe tanninsFood Pairing:Ideal with meat dishes, particularly roasts and gameAwards:2011 - Wine Enthusiast Magazine: 89 points",https://www.winelistasia.com/store/p74/Terenzi_-_Rosso_Toscano_%22Bramaluce%22_DOC_2016.html
"Terenzi - Rosso Toscana ""Francesca Romana"" IGT 2013",104,"Red, Dry, Still",Merlot,Petir Verdot,,,"Bordeaux, France",,,,14.00%,"It goes particularly well with red meats, roasts, game or moderately mature cheeses","Category: Red, Dry, StillGrapes: Merlot, Cabernet Sauvignon, Petir VerdotAlcohol: 14%Deep ruby red with garnet tingesHints of spices and ripe red fruit notesRounded, warm and full-bodied, with rich spicy tones and a long finish enhanced by ripe, velvety tanninsFood Pairing:It goes particularly well with red meats, roasts, game or moderately mature cheesesAwards:2008 - Wine Enthusiast Magazine: 92 points2013 - Wine & Spirit Magazine: 90 points",https://www.winelistasia.com/store/p76/Terenzi_-_Rosso_Toscana_%22Francesca_Romana%22_IGT_2013.html
"Terenzi - Morellino di Scansano Riserva ""Madrechiesa"" DOCG 2015",119,"Red, Dry, Still",100% Sangiovese,,,,"Tuscany, Italy",,,,14.00%,"It goes particularly well with red meats, roasts, game or moderately mature cheeses","Category: Red, Dry, StillGrapes: 100% SangioveseAlcohol: 14%Deep ruby red with garnet tingesRed berry fruits, spices and a faint tarry noteFull-bodied and well-balanced, with ripe, well-evolved tanninsFood Pairing:It goes particularly well with red meats, roasts, game or moderately mature cheesesAwards:2011 - Wine Enthusiast Magazine: 94 points2012 - Gambero Rosso: 3 Glasses2013 - Gambero Rosso: 3 Glasses2013 - Wine Spectator: 92 points",https://www.winelistasia.com/store/p77/Terenzi_-_Morellino_di_Scansano_Riserva_%22Madrechiesa%22_DOCG_2015.html
Romanelli - Montefalco Rosso DOC 2017,63,"Red, Dry, Still",65% Sangiovese,10% Merlot,10% Cabernet Sauvignon,,"Tuscany, Italy","Bordeaux, France","Bordeaux, France",,14.00%,"Pairs well with meat roasts, game, lamb, black truffle and matured cheeses","Category: Red, Dry, StillGrapes: 65% Sangiovese, 15% Sagrantino, 10% Merlot, 10% Cabernet Sauvignon Alcohol: 14%Deep ruby red in colourThe bouquet abounds in wild berries, cherries and plums and enjoyable toasted aromasBalance of tart dark fruit along with a wonderful mouthfeel featuring soft yet grippy tanninsFood pairing:Pairs well with meat roasts, game, lamb, black truffle and matured cheesesAwards:2009 - Wine Enthusiast Magazine: 87 points2010 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p80/Romanelli_-_Montefalco_Rosso_DOC_2017.html
"Romanelli - Montefalco Rosso Riserva ""Molinetta"" DOCG 2010",109,"Red, Dry, Still",65% Sangiovese,20% Merlot,,,"Tuscany, Italy","Bordeaux, France",,,15.50%,"This wine can be enjoyed with grilled red meats, roast meat, cold cuts and aged cheeses","Category: Red, Dry, StillGrapes: 65% Sangiovese, 15% Sagrantino, 20% MerlotAlcohol: 15.5%Deep ruby red in colourThe bouquet abounds in wild berries, cherries and plums and enjoyable toasted aromasOn the palate, aromas of black fruit and blackberry complement undertones of black cherry, tobacco, and graphit. Fine-grained tannins and well-integrated alcohol result in a silky mouthfeel and perfect structural balanceFood Pairing:This wine can be enjoyed with grilled red meats, roast meat, cold cuts and aged cheeses",https://www.winelistasia.com/store/p81/Romanelli_-_Montefalco_Rosso_Riserva_%22Molinetta%22_DOCG_2010.html
Romanelli - Montefalco Sagrantino DOCG 2015,117,"Red, Dry, Still",100% Sagrantino,,,,"Umbria (Montefalco), Italy",,,,15.00%,"Pairs well with meat roasts, game, lamb, black truffle and matured cheeses","Category: Red, Dry, StillGrapes: 100% SagrantinoAlcohol: 15%Deep ruby red with garnet huesElegant fruit with blackberry and plums backed up with sweet wood balsamic aftertasteFull and well structured, long and harmoniously balanced. Tannic, with a slightly bitter aftertasteFood Pairing:Pairs well with meat roasts, game, lamb, black truffle and matured cheesesAwards:2011 - Gambero Rosso: 3 Glasses",https://www.winelistasia.com/store/p82/Romanelli_-_Montefalco_Sagrantino_DOCG_2015.html
"Mascarello Giuseppe e Figlio - Barolo ""Monprivato"" DOCG 2012",367,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Red meats in general, game, mature cheeses","Category: Red, Dry, StillGrapes: 100% NebbioloAlcohol: 14%Clear. Light redLaced with notes of red cherry, raspberry, mint, white pepper and orange peelSweet and bitter cherry fruits and inner floral tones which lasted into the finish, joined by lingering notes of cedarFood Pairing:Red meats in general, game, mature cheesesAwards:2011 - Wine Spectator: 95 points2011 - Wine Enthusiast Magazine: 95 points2011 - Luca Gardini: 98 points",https://www.winelistasia.com/store/p83/Mascarello_Giuseppe_e_Figlio_-_Barolo_%22Monprivato%22_DOCG_2012.html
"Mascarello Giuseppe e Figlio - Barolo ""Monprivato"" DOCG 2011",367,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Red meats in general, game, mature cheeses","Category: Red, Dry, StillGrapes: 100% NebbioloAlcohol: 14%Clear. Light redBouquet of rose petals, violets, spices, black cherries and other dark fruitSweet and bitter cherry fruits and inner floral tones which lasted into the finish, joined by lingering notes of cedarFood Pairing:Red meats in general, game, mature cheesesAwards:2010 - Wine Enthusiast Magazine: 99 points2010 - Wine Advocate: 97 points2010 - Wine Spectator: 96 points2010 - Stephen Tanzer: 96 points",https://www.winelistasia.com/store/p84/Mascarello_Giuseppe_e_Figlio_-_Barolo_%22Monprivato%22_DOCG_2011.html
"Ascheri - Barbera d'Alba ""Fontanelle"" DOC 2023",65,"Red, Dry, Still",100% Barbera,,,,"Piedmont, Italy",,,,13.50%,As an aperitif or with starters: the bitter notes and dry finish whet the appetite and prepare diners to savour the meal. Ideal served with delicately-flavoured dishes such as fish dishes,"Category: Red, Dry, StillGrapes: 100% BarberaAlcohol: 13.5%Deep ruby red colour with violet nuancesComplex, intense bouquet of blackberries, plums, fruit jam and spicesRound, harmonious, complex palate full and ripe but fresh and tasty. Remarkably classy wine endowed with finesseFood Pairing:As an aperitif or with starters: the bitter notes and dry finish whet the appetite and prepare diners to savour the meal. Ideal served with delicately-flavoured dishes such as fish dishesAwards:2009 - Wine Spectator: 88 points2010 - Wine Spectator: 89 points2012 - Wine Enthusiast Magazine: 88 points",https://www.winelistasia.com/store/p85/Ascheri_-_Barbera_d%27Alba_%22Fontanelle%22_DOC_2023.html
"Ascheri - Nebbiolo d'Alba ""San Giacomo"" DOC 2023",71,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,13.50%,"Pair this wine with roasted lamb shank, Bordelaise sauces, and pork torchons","Category: Red, Dry, StillGrapes: 100% NebbioloAlcohol: 13.5%Ruby red colour with garnet red nuancesElegant bouquet, spicy and floral with velvety aromas of black raspberry and roses with a hint of nutmegTart cherries, rose petals, and hints of truffles with a long, impressive finishFood Pairing:Pair this wine with roasted lamb shank, Bordelaise sauces, and pork torchonsAwards:2010 - Luca Gardini: 92 points2012 - Wine Enthusiast Magazine: 90 points",https://www.winelistasia.com/store/p86/Ascheri_-_Nebbiolo_d%27Alba_%22San_Giacomo%22_DOC_2023.html
Ascheri - Barbaresco DOCG 2022,99,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Pair this wine with roasted lamb shank, Bordelaise sauces, and pork torchons","Category: Red, Dry, StillGrapes: 100% NebbioloAlcohol: 14%Ruby-red in color with garnet highlightsAromas of dried cherries and rose petals are complemented by undertones of violets, licorice, vanilla, and spicesMedium-bodied and rich with flavors of tart cherries, rose petals, and hints of truffles with a long, impressive finishFood Pairing:Pair this wine with roasted lamb shank, Bordelaise sauces, and pork torchons",https://www.winelistasia.com/store/p87/Ascheri_-_Barbaresco_DOCG_2022.html
"Ascheri - Barolo ""Blue Label"" DOCG 2021",107,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Roasted, skewered and grilled red meats and ripe cheeses","Category: Red, Dry, StillGrapes: 100% NebbioloAlcohol: 14%Intense garnet red colourRich and composite bouquet of sweet spices, dried flowers, leather and undergrowthLicorice, cherry and tar notes mark this intense, chewy red, packed with sweet fruit midpalate and dense, dusty tanninsFood Pairing:Roasted, skewered and grilled red meats and ripe cheesesAwards:2016 - Wine Enthusiast: 92 points2016 - Robert Parker: 92 points2015 - Wine Spectator: 93 points2015 - Robert Parker: 91 points2015 - James Suckling: 93 points2013 - James Suckling: 93 points2012 - James Suckling: 92 points2012 - Wine Spectator: 94 points",https://www.winelistasia.com/store/p88/Ascheri_-_Barolo_%22Blue_Label%22_DOCG_2021.html
"Ascheri - Syrah ""Montalupa"" DOC 2018",105,"Red, Dry, Still",100% Syrah,,,,"Northern Rhone, France",,,,14.50%,"Grilled red meats, game, white and red meat. âHaute Cuisineâ dishes with dark and white sauces","Category: Red, Dry, StillGrapes: 100% SyrahAlcohol: 14.5%Deep red colour with violet nuancesSpicy bouquet, with wide and persistent notes of small fruits, wild flowers of mountain meadows, and liquoriceRich, balanced palate with sweet tannins which give the wine harmony, distinction and intensityFood Pairing:Grilled red meats, game, white and red meat. âHaute Cuisineâ dishes with dark and white saucesAwards:2008 - Wine Advocate: 91 points",https://www.winelistasia.com/store/p89/Ascheri_-_Syrah_%22Montalupa%22_DOC_2018.html
"Ascheri - Barolo ""Sorano"" DOCG 2015",207,"Red, Dry, Still",100% Nebbiolo,,,,"Piedmont, Italy",,,,14.00%,"Recommended with rich fare, such as truffle scented dishes, roast beef, fillet mignon and medium-aged cheeses.","Category: Red, Dry, StillGrapes: 100% NebbioloAlcohol: 14%Bright garnet red colourComplex bouquet with balmy and mint scents blended with small fruits, flowers and sweet spicesFull palate, powerful and balanced wine. Harmonious and exceptionally long-live, extraordinarily rich and complexFood Pairing:Recommended with rich fare, such as truffle scented dishes, roast beef, fillet mignon and medium-aged cheeses.Awards:2010 - Wine Enthusiast Magazine: 95 points2011 - Wine Advocate: 91 points2011 - Wine Enthusiast Magazine: 93 points2011 - James Suckling: 91 points",https://www.winelistasia.com/store/p90/Ascheri_-_Barolo_%22Sorano%22_DOCG_2015.html
